No,Animation Pattern,Category,Trigger,CSS Implementation,Spring/Timing Formula,Parallax Depth,Hardware Acceleration,Accessibility Fallback,Best For,August 2026 Specification
1,Multi-Plane Scroll Parallax,Parallax,Scroll driven,"animation-timeline: scroll(); animation-range: entry 0% exit 100%; transform: translate3d(0, calc(var(--scroll-ratio) * var(--depth)), 0);","cubic-bezier(0.16, 1, 0.3, 1) or linear() spring",0.15 to 0.85 (4 layers),will-change: transform; transform: translateZ(0),@media (prefers-reduced-motion: reduce) { transform: none; },"Hero sections, storytelling landing pages, SaaS 3D reveals",Modern CSS Scroll-Driven Animations using view-timeline and scroll-timeline without main thread JS lag
2,Liquid Chromatic Glass Shimmer,Glassmorphism,Continuous/Hover,"background: linear-gradient(135deg, rgba(255,255,255,0.4) 0%, rgba(255,255,255,0.05) 50%, rgba(255,255,255,0.2) 100%); backdrop-filter: blur(24px) saturate(180%); box-shadow: inset 0 1px 1px 0 rgba(255,255,255,0.4);","linear(0, 0.006 2.8%, 0.101 6.1%, 0.539 18.9%, 0.721 25.3%, 0.849 31.5%, 0.937 38.1%, 0.968 41.8%, 1 50.2%)",0.05 to 0.20,will-change: backdrop-filter; contain: paint,backdrop-filter: blur(12px); animation: none,"Premium cards, floating dialogs, pricing tiers, modal overlays",Sub-pixel specular border reflection with dynamic RGB chromatic dispersion on edges and SVG micro-noise refraction
3,Inertial 3D Cursor Tilt & Magnetic Pull,Micro-interaction,Pointer move,"transform: perspective(1000px) rotateX(calc(var(--mouse-y) * -8deg)) rotateY(calc(var(--mouse-x) * 8deg)) translate3d(var(--pull-x), var(--pull-y), 20px);","spring(mass: 0.8, stiffness: 220, damping: 18)",0.25 to 0.40,will-change: transform; transform-style: preserve-3d,@media (pointer: coarse) { transform: none; },"Interactive showcase cards, CTA buttons, bento grids",Physics-based spring damping with smooth pointer tracking and zero jitter
4,Kinetic Bento Grid Morph,Layout,State change / Filter,"transition: grid-template-columns 400ms var(--ease-spring), transform 300ms ease;","cubic-bezier(0.34, 1.56, 0.64, 1)",0.10 to 0.20,contain: layout style; will-change: transform,transition: opacity 150ms ease,"Dynamic dashboards, feature grids, portfolio matrices",Container query responsive grid units with animated flex-basis and fluid aspect ratios
5,Fluid View Transition Morph,Page Navigation,Route change,view-transition-name: hero-card; ::view-transition-group(hero-card) { animation-duration: 350ms; },"cubic-bezier(0.2, 0.0, 0.0, 1.0)",0.30 to 0.50,"will-change: transform, opacity",::view-transition-old(*) { animation: none; },"Page-to-page transitions, modal expansions, list-to-detail",Native View Transitions API with cross-fade and spatial coordinate morphing
6,Ambient Glow Pulse & Halo Shader,Visual Effect,Ambient / Hover,"box-shadow: 0 0 50px -10px var(--glow-color, rgba(99,102,241,0.35)); filter: drop-shadow(0 0 25px rgba(99,102,241,0.25));","cubic-bezier(0.4, 0, 0.2, 1) duration 3s infinite alternate",0.05 to 0.15,will-change: filter,"box-shadow: 0 4px 12px rgba(0,0,0,0.1)","OLED dark mode, AI interfaces, crypto Web3, fintech",High-gamut OKLCH neon aura around active interactive surfaces
7,Variable Font Kinetic Shiver,Typography,Scroll / Hover,"font-variation-settings: 'wght' var(--font-weight-dynamic), 'wdth' var(--font-width-dynamic);","cubic-bezier(0.16, 1, 0.3, 1)",0.00 to 0.10,contain: layout,@media (prefers-reduced-motion: reduce) { font-variation-settings: 'wght' 700; },"Hero headings, editorial layouts, branding statements",CSS @property animated variable font axes interpolating smoothly between 300 and 900 weight
8,Staggered Spatial Entrance Cascade,Entrance,Intersection Observer,"transform: translateY(0) scale(1); opacity: 1; transition: transform 600ms var(--ease-spring) var(--stagger-delay), opacity 400ms ease var(--stagger-delay);","cubic-bezier(0.16, 1, 0.3, 1) with 60ms stagger per child",0.10 to 0.30,"will-change: transform, opacity",@media (prefers-reduced-motion) { opacity: 1; transform: none; },"Initial page load, bento cards, list items, pricing tables",Hardware accelerated translateY(24px) to 0 with natural exponential stagger delay
9,Dynamic Island / Pill Morphism,Feedback,User interaction,"transform: translate3d(0,0,0) scale(var(--scale)); border-radius: var(--pill-radius); backdrop-filter: blur(20px);","spring(mass: 0.5, stiffness: 350, damping: 22)",0.10 to 0.25,"will-change: transform, width, height",transition: transform 150ms ease,"Sticky notifications, header bars, active status indicators",Fluid width/height spring interpolation with liquid corners and high-contrast OLED backing
10,Card Fanning Parallax Stack,Scroll / Gallery,Scroll scrub,transform: translateY(calc(var(--index) * -12px)) scale(calc(1 - (var(--total) - var(--index)) * 0.04)) rotateZ(calc((var(--index) - 2) * 1.5deg));,"cubic-bezier(0.25, 1, 0.5, 1)",0.40 to 0.70,will-change: transform,transform: none; margin-bottom: 24px;,"Testimonials, feature stacks, product tours, case studies",Scroll-anchored sticky card deck that fans and unpeels with inertia as viewport passes
