No,Token Category,Token Name,DTCG Type,W3C Token Path,CSS Variable,Tailwind v4 Mapping,Default Value,Dark Mode Value,August 2026 Description
1,Color Primitives,color-primary-base,color,color.primary.base,--color-primary-base,--color-primary,oklch(0.55 0.24 260),oklch(0.68 0.22 260),High-gamut OKLCH primary indigo-violet
2,Color Primitives,color-secondary-base,color,color.secondary.base,--color-secondary-base,--color-secondary,oklch(0.70 0.18 190),oklch(0.78 0.16 190),Vibrant cyan-teal secondary accent
3,Color Primitives,color-accent-cta,color,color.accent.cta,--color-accent-cta,--color-accent,oklch(0.65 0.22 145),oklch(0.72 0.20 145),High-conversion emerald CTA
4,Color Primitives,color-surface-base,color,color.surface.base,--color-surface-base,--color-surface,oklch(0.98 0.005 260),oklch(0.12 0.015 260),Light luxe off-white vs OLED deep charcoal/black
5,Color Primitives,color-text-base,color,color.text.base,--color-text-base,--color-text,oklch(0.18 0.02 260),oklch(0.96 0.005 260),Ultra-readable high contrast text (WCAG 2.2 AAA 12:1+)
6,Color Primitives,color-border-subtle,color,color.border.subtle,--color-border-subtle,--color-border,"rgba(0, 0, 0, 0.08)","rgba(255, 255, 255, 0.12)",Sub-pixel translucent border separator
7,Glass Tokens,glass-surface-ultra,shadow/filter,glass.surface.ultra,--glass-surface-ultra,backdrop-blur-xl bg-white/70 dark:bg-white/5,"backdrop-filter: blur(24px) saturate(190%); background: rgba(255,255,255,0.75); border: 1px solid rgba(255,255,255,0.4);","backdrop-filter: blur(24px) saturate(190%); background: rgba(18,20,32,0.65); border: 1px solid rgba(255,255,255,0.12);",Deep specular frosted glass with sub-pixel highlight border
8,Glass Tokens,glass-shimmer-highlight,gradient,glass.shimmer.highlight,--glass-shimmer-highlight,bg-gradient-to-br from-white/40 via-white/5 to-white/20,"linear-gradient(135deg, rgba(255,255,255,0.45) 0%, rgba(255,255,255,0.05) 50%, rgba(255,255,255,0.20) 100%)","linear-gradient(135deg, rgba(255,255,255,0.20) 0%, rgba(255,255,255,0.02) 50%, rgba(255,255,255,0.08) 100%)",Top-left directional light reflection simulating angled glass plane
9,Motion Tokens,motion-ease-spring-snappy,cubicBezier,motion.ease.spring.snappy,--ease-spring-snappy,--ease-spring,"cubic-bezier(0.16, 1, 0.3, 1)","cubic-bezier(0.16, 1, 0.3, 1)",August 2026 standard snappy physics curve without overshooting
10,Motion Tokens,motion-ease-spring-bounce,cubicBezier,motion.ease.spring.bounce,--ease-spring-bounce,--ease-bounce,"cubic-bezier(0.34, 1.56, 0.64, 1)","cubic-bezier(0.34, 1.56, 0.64, 1)",Tactile playful spring bounce for CTA buttons and micro-feedback
11,Motion Tokens,motion-duration-instant,duration,motion.duration.instant,--duration-instant,duration-100,100ms,100ms,Immediate micro-feedback hover/active state
12,Motion Tokens,motion-duration-fluid,duration,motion.duration.fluid,--duration-fluid,duration-300,300ms,300ms,Standard component transition and layout morphing
13,Motion Tokens,motion-duration-spatial,duration,motion.duration.spatial,--duration-spatial,duration-600,600ms,600ms,"Page transition, bento modal expansion, and parallax cascade"
14,Parallax Tokens,parallax-depth-layer-1,dimension,parallax.depth.layer1,--parallax-depth-1,"data-parallax=""0.1""",0.10,0.10,Background ambient glow and deep decorative shapes
15,Parallax Tokens,parallax-depth-layer-2,dimension,parallax.depth.layer2,--parallax-depth-2,"data-parallax=""0.25""",0.25,0.25,"Secondary cards, floating badges, decorative illustrations"
16,Parallax Tokens,parallax-depth-layer-3,dimension,parallax.depth.layer3,--parallax-depth-3,"data-parallax=""0.5""",0.50,0.50,Foreground primary content cards and interactive focal elements
17,Parallax Tokens,parallax-depth-layer-4,dimension,parallax.depth.layer4,--parallax-depth-4,"data-parallax=""0.85""",0.85,0.85,"Floating cursor magnets, tooltips, dynamic spotlight overlays"
18,Typography Tokens,font-display-hero,typography,font.display.hero,--font-display-hero,text-fluid-hero,"clamp(2.5rem, 1.8rem + 3.5vw, 5.5rem)","clamp(2.5rem, 1.8rem + 3.5vw, 5.5rem)",Variable fluid hero clamp typography with optical size adjustments
19,Typography Tokens,font-heading-h1,typography,font.heading.h1,--font-heading-h1,text-fluid-h1,"clamp(2.0rem, 1.5rem + 2.2vw, 3.75rem)","clamp(2.0rem, 1.5rem + 2.2vw, 3.75rem)",Fluid section heading clamp equation
20,Typography Tokens,font-body-base,typography,font.body.base,--font-body-base,text-fluid-base,"clamp(1.0rem, 0.95rem + 0.35vw, 1.125rem)","clamp(1.0rem, 0.95rem + 0.35vw, 1.125rem)",High-legibility editorial body text scale
21,Elevation Tokens,elevation-glass-level-1,shadow,elevation.glass.1,--shadow-glass-1,shadow-glass-sm,"0 4px 16px 0 rgba(0,0,0,0.06), 0 1px 2px 0 rgba(0,0,0,0.04)","0 4px 20px 0 rgba(0,0,0,0.35), 0 0 1px 1px rgba(255,255,255,0.1)",Ambient surface resting elevation
22,Elevation Tokens,elevation-glass-level-3,shadow,elevation.glass.3,--shadow-glass-3,shadow-glass-lg,"0 16px 40px -8px rgba(0,0,0,0.12), 0 4px 12px rgba(0,0,0,0.06)","0 20px 50px -10px rgba(0,0,0,0.6), 0 0 2px 1px rgba(255,255,255,0.15)","Floating modal, active bento card, and elevated hover elevation"
23,Radius Tokens,radius-card-bento,dimension,radius.card.bento,--radius-card-bento,rounded-3xl,24px,24px,Modern 2026 squircle / bento card curvature
24,Radius Tokens,radius-button-pill,dimension,radius.button.pill,--radius-button-pill,rounded-full,9999px,9999px,Full rounded ergonomic button pill
